Architecture_Type,Parallelism_Method,World_Size,Num_Workloads,fat tree_Mean_x10^13,fat tree_Std_x10^13,DragonFly+_Mean_x10^13,DragonFly+_Std_x10^13,HyperX_Mean_x10^13,HyperX_Std_x10^13
Dense,DP,512,30,0.50,0.98,0.75,1.47,0.30,0.57
Dense,PP,512,30,0.00,0.00,0.01,0.00,0.00,0.00
Dense,TP,512,30,61.59,95.96,61.59,95.96,30.79,47.98
Dense,Total,512,30,62.09,96.34,62.34,96.53,31.09,48.22
Dense,DP,1024,28,1.07,2.01,1.60,3.02,0.60,1.11
Dense,PP,1024,28,0.01,0.00,0.01,0.00,0.01,0.00
Dense,TP,1024,28,127.53,197.56,127.53,197.56,63.76,98.78
Dense,Total,1024,28,128.60,198.33,129.13,198.72,64.37,99.23
Dense,DP,2048,28,2.14,4.02,3.20,6.04,1.16,2.16
Dense,PP,2048,28,0.01,0.01,0.02,0.01,0.01,0.01
Dense,TP,2048,28,253.98,395.61,253.98,395.61,126.99,197.81
Dense,Total,2048,28,256.13,397.16,257.21,397.94,128.16,198.67
MOE,DP,512,46,1.00,1.88,1.50,2.83,0.59,1.08
MOE,PP,512,46,0.00,0.00,0.00,0.00,0.00,0.00
MOE,TP,512,46,61.77,112.15,61.77,112.15,30.88,56.07
MOE,Total,512,46,62.77,112.70,63.27,112.98,31.47,56.42
MOE,DP,1024,37,1.69,3.46,2.54,5.19,0.94,1.91
MOE,PP,1024,37,0.00,0.00,0.00,0.00,0.00,0.00
MOE,TP,1024,37,139.34,245.57,139.34,245.57,69.67,122.79
MOE,Total,1024,37,141.04,246.72,141.89,247.31,70.62,123.45
MOE,DP,2048,31,3.79,7.51,5.68,11.26,2.05,4.02
MOE,PP,2048,31,0.01,0.00,0.01,0.00,0.01,0.00
MOE,TP,2048,31,318.91,526.39,318.91,526.39,159.46,263.19
MOE,Total,2048,31,322.71,529.35,324.60,530.87,161.51,264.84
