Dataset,Parallelism_Method,World_Size,Num_Workloads,fat tree_Mean_x10^13,fat tree_Std_x10^13,DragonFly+_Mean_x10^13,DragonFly+_Std_x10^13,HyperX_Mean_x10^13,HyperX_Std_x10^13
Dense,DP,512,30,0.50,0.98,0.75,1.47,0.30,0.57
Dense,PP,512,30,0.00,0.00,0.01,0.00,0.00,0.00
Dense,TP,512,30,61.59,95.96,61.59,95.96,30.79,47.98
Dense,Total,512,30,124.19,192.68,124.69,193.07,62.19,96.44
Dense,DP,1024,28,1.07,2.01,1.60,3.02,0.60,1.11
Dense,PP,1024,28,0.01,0.00,0.01,0.00,0.01,0.00
Dense,TP,1024,28,127.53,197.56,127.53,197.56,63.76,98.78
Dense,Total,1024,28,257.21,396.67,258.29,397.46,128.75,198.47
Dense,DP,2048,28,2.14,4.02,3.20,6.04,1.16,2.16
Dense,PP,2048,28,0.01,0.01,0.02,0.01,0.01,0.01
Dense,TP,2048,28,253.98,395.61,253.98,395.61,126.99,197.81
Dense,Total,2048,28,512.30,794.33,514.46,795.90,256.36,397.35
MOE,DP,512,46,1.00,1.88,1.50,2.83,0.59,1.08
MOE,PP,512,46,0.00,0.00,0.00,0.00,0.00,0.00
MOE,TP,512,46,61.77,112.15,61.77,112.15,30.88,56.07
MOE,Total,512,46,125.54,225.39,126.54,225.97,62.94,112.83
MOE,DP,1024,37,1.69,3.46,2.54,5.19,0.94,1.91
MOE,PP,1024,37,0.00,0.00,0.00,0.00,0.00,0.00
MOE,TP,1024,37,139.34,245.57,139.34,245.57,69.67,122.79
MOE,Total,1024,37,282.07,493.44,283.77,494.62,141.23,246.90
MOE,DP,2048,31,3.79,7.51,5.68,11.26,2.05,4.02
MOE,PP,2048,31,0.01,0.00,0.01,0.00,0.01,0.00
MOE,TP,2048,31,318.91,526.39,318.91,526.39,159.46,263.19
MOE,Total,2048,31,645.41,1058.70,649.21,1061.73,323.02,529.68
